dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_final,accuracy_seen_avg,ace_all_avg,ace_final,ace_seen_avg,backward_transfer,brier_all_avg,brier_final,ece_final,ece_seen_avg,ece_all_avg,forward_transfer,sce_all_avg,sce_final,sce_seen_avg,asce_final
cifar100,linear,2917091_1,10,0.40324997901916504,0.6643000245094299,0.7782185673713684,0.00888903450559895,9.127905337125481e-05,3.627057921947172e-05,-0.10371110588312149,0.8650319603826253,0.4505613464140224,0.032467754411697386,0.023132508133538073,0.28082329291671515,0.0,0.007849476040649414,0.0006094856567382812,0.00040075911938046655,0.0006080838623046873
cifar100,linear,2917080_4,10,0.4030999541282654,0.6685000658035278,0.7773652076721191,0.008888175696553749,3.92652086945317e-05,2.7862475860676762e-05,-0.10291111469268799,0.861300293034194,0.441696291656227,0.028633088588714627,0.020609858236667666,0.2793944635973871,0.0,0.007769000518798828,0.0005049519958496097,0.0003406288192385721,0.000493554931640625
cifar100,linear,2917092_2,10,0.40042001008987427,0.662100076675415,0.7737842202186584,0.008874337080346127,5.2041102341580786e-05,2.7680053224796646e-05,-0.11015555262565613,0.8644917446461327,0.44858775331119033,0.03526158981323243,0.02493029961103011,0.28333085657358165,0.0,0.007847876098632812,0.0006618907165527346,0.00042418658695977826,0.0006546406555175778
cifar100,linear,2916795_0,10,0.40130001306533813,0.6702999472618103,0.7725937962532043,0.008899073226139611,5.0848875950935184e-05,2.0627329354144564e-05,-0.09726667404174805,0.8662152814570108,0.44230658028559117,0.02471581187248229,0.021826641727714313,0.2823816867569089,0.0,0.007816095065307617,0.00047582354736328117,0.0003785806345818535,0.00047744473266601536
cifar100,linear,2917093_3,10,0.4008699953556061,0.6615999937057495,0.7735306024551392,0.008892500388322627,6.541184861466141e-05,2.988035281253892e-05,-0.10819999128580093,0.865416993415228,0.45158229012636075,0.03293428521156309,0.021808720558768226,0.2818507637383044,0.0,0.007826363507080077,0.000618367645263672,0.0003845843616636973,0.0006209177246093748
cifar100,joint,2934784_1,1,0.9017000198364258,0.9017000198364258,0.9017000198364258,7.798164738649104e-06,7.798164738649104e-06,7.798164738649104e-06,,0.13986647535571145,0.13986647535571145,0.006385777858644673,0.006385777858644673,0.006385777858644673,,8.922807312011669e-05,8.922807312011669e-05,8.922807312011669e-05,9.122776794433552e-05
cifar100,joint,2917148_4,1,0.9020000100135803,0.9020000100135803,0.9020000100135803,3.4963600855114987e-06,3.4963600855114987e-06,3.4963600855114987e-06,,0.140112366924211,0.140112366924211,0.008048972404003088,0.008048972404003088,0.008048972404003088,,0.00014103713989257756,0.00014103713989257756,0.00014103713989257756,0.00014281101226806678
cifar100,joint,2931764_0,1,0.9063000082969666,0.9063000082969666,0.9063000082969666,9.094221867942085e-06,9.094221867942085e-06,9.094221867942085e-06,,0.13638439599700622,0.13638439599700622,0.0037826997160911842,0.0037826997160911842,0.0037826997160911842,,8.135247802734404e-05,8.135247802734404e-05,8.135247802734404e-05,8.388661193847652e-05
cifar100,joint,2934796_2,1,0.9043999910354614,0.9043999910354614,0.9043999910354614,6.510430199602923e-06,6.510430199602923e-06,6.510430199602923e-06,,0.13744815581796788,0.13744815581796788,0.007096606469154417,0.007096606469154417,0.007096606469154417,,9.981674194336002e-05,9.981674194336002e-05,9.981674194336002e-05,0.00010089174652099615
cifar100,joint,2934813_3,1,0.9063000082969666,0.9063000082969666,0.9063000082969666,6.744556605406956e-06,6.744556605406956e-06,6.744556605406956e-06,,0.13835166084270978,0.13835166084270978,0.007441359075903833,0.007441359075903833,0.007441359075903833,,0.00013881131744384703,0.00013881131744384703,0.00013881131744384703,0.0001361714935302735
cifar100,replay,2926856_3,10,0.47617998719215393,0.8068000078201294,0.894267201423645,0.008735943592332141,0.00011093132581532672,3.389080711133485e-05,-0.1237555518746376,0.7958960769404895,0.2801203272857312,0.057195194406062376,0.02356010529661106,0.30832430280067025,0.0,0.00795793667602539,0.0011428449554443361,0.0004633590545262608,0.0011435918273925785
cifar100,replay,2925044_0,10,0.47672000527381897,0.8055999875068665,0.8946000933647156,0.008778895793912828,0.00011410518910066379,3.7887444567701945e-05,-0.12235556542873383,0.7970246437504327,0.2757293479834286,0.05856853161454205,0.02563267876204755,0.31051867370873687,0.0,0.008007289976501464,0.001099297714233399,0.0004769929795864084,0.0011000642700195312
cifar100,replay,2917145_4,10,0.4747700095176697,0.8044999837875366,0.892589271068573,0.008785918873940344,0.00015007264909945735,4.3005827043980554e-05,-0.12617777287960052,0.8000121057991523,0.2838740471619996,0.0638793558478355,0.026547343997017477,0.31129453414276237,0.0,0.008023983383178711,0.001252456878662109,0.0005131667904335354,0.0012524122161865232
cifar100,replay,2926800_2,10,0.4784500002861023,0.8104999661445618,0.8983097076416016,0.008742109271149252,0.00013088351039378945,3.9142656748714316e-05,-0.12293332070112228,0.7941639822346952,0.27736325483618773,0.054416568797826775,0.024065236677991035,0.30748843807436527,0.0,0.00797374284515381,0.0011169967498779298,0.0004648535732148187,0.0011176436614990229
cifar100,replay,2925045_1,10,0.47644004225730896,0.8076000213623047,0.8949249386787415,0.008757193497609558,0.0001448191256138382,4.2063569331179376e-05,-0.1238444447517395,0.7998323593245142,0.2801158424447185,0.057993418864905805,0.025905041422577834,0.3126241546436399,0.0,0.008021788792419434,0.001137875518798828,0.0004953977114469285,0.0011358979644775394
cifar100,ball,2917144_4,10,0.4665500223636627,0.8069999814033508,0.8755344152450562,0.008727137165507284,3.741337553484339e-05,1.705981173305351e-05,-0.07442221790552139,0.8037384840472317,0.27043992876030926,0.01265315691232681,0.013297110163927794,0.29449756406575445,0.0,0.007780474821472168,0.00017510057067871097,0.00020164164783926245,0.000172315673828125
cifar100,ball,2919942_0,10,0.4692400395870209,0.8128000497817993,0.8800767660140991,0.008627972561830061,2.1942505289511127e-05,1.1930556460752876e-05,-0.06544443964958191,0.7969638101753577,0.26417658807513683,0.014438341575860963,0.013276402263083163,0.2946113133461774,0.0,0.007738296224975587,0.0002545157165527344,0.00023596605737852684,0.0002559746704101565
cifar100,ball,2924856_3,10,0.4688200056552887,0.8115999102592468,0.8806297183036804,0.008649589088343696,1.788544330702288e-05,1.5014484106370995e-05,-0.06531110405921936,0.8004740082222934,0.268442094608245,0.01591021414995194,0.014945772557462008,0.2928264924687147,0.0,0.007757677479553224,0.00022676033020019532,0.00022292289696761525,0.00022904156494140624
cifar100,ball,2924483_2,10,0.4701700210571289,0.8147000074386597,0.8825241327285767,0.008744249529019501,2.123268246329174e-05,1.3254176322963095e-05,-0.06215557083487511,0.7975246089142695,0.264549385821465,0.011936795580387113,0.011347618007940206,0.28966006859421733,0.0,0.007759668588256836,0.00017147003173828134,0.00019069537280987193,0.0001705457153320312
cifar100,ball,2924430_1,10,0.4662800431251526,0.8030000925064087,0.8763992190361023,0.008692899183110756,2.461939204846676e-05,1.28107286271022e-05,-0.07411111146211624,0.7978210273920225,0.27276853571632764,0.011775967895984648,0.01299350324752667,0.2882101190340519,0.0,0.007697600558471679,0.00023812242126464836,0.00022519604524392933,0.0002381442871093751
cifar100,der,2931452_1,10,0.4855100214481354,0.8291000127792358,0.907618522644043,0.00850810054073236,0.000229229650564492,7.589893461202118e-05,-0.10073333233594894,0.7829458742316169,0.25180944850886067,0.030602311068773314,0.017958089970800842,0.2964939337392897,0.0,0.007407241946411132,0.0005791871337890628,0.00031068670072706916,0.0005787782287597655
cifar100,der,2931529_3,10,0.48416003584861755,0.8279999494552612,0.9048473238945007,0.008522353983785726,0.00024712673196196496,8.422903955644338e-05,-0.10053333640098572,0.7838428157380559,0.2522928899229465,0.03372658805847166,0.01766122221728164,0.2977502813702822,0.0,0.007403987969970702,0.0005895742645263671,0.0003362543067585853,0.0005895870056152345
cifar100,der,2931528_2,10,0.48436999320983887,0.8234999775886536,0.9069392085075378,0.008516018666310842,0.00022519856061786444,7.786292748654012e-05,-0.10442221909761429,0.7824433439748644,0.2552193683440358,0.03182536671161654,0.017557228456554663,0.29502655153620994,0.0,0.007394124085998534,0.000601114685058594,0.0003387634663850541,0.0005977996063232427
cifar100,der,2917147_4,10,0.48420000076293945,0.8214999437332153,0.9065960049629211,0.008518580636298146,0.00021565146698243837,7.526248326536937e-05,-0.10215555876493454,0.7837422147338513,0.25904149830713025,0.028199357424303878,0.01851177608656505,0.2960860461489484,0.0,0.00737486658782959,0.0005910954589843748,0.0003387107754583397,0.0005901856994628906
cifar100,der,2931320_0,10,0.4836999773979187,0.8279000520706177,0.9048423767089844,0.008507559987629205,0.00016404437972139679,7.532934151389806e-05,-0.10504444688558578,0.7847190276208253,0.2533695645535911,0.03379904143661261,0.017720243896891676,0.29784001338385047,0.0,0.007426883966064453,0.0006012538452148437,0.0003381481578164631,0.0006001670074462891
cifar100,gdumb,2930567_3,10,0.4609200060367584,0.7851999998092651,0.8695966005325317,0.008636142980739475,0.0002900385474525393,0.00012624334283231235,-0.07533333450555801,0.7929220674076164,0.3010566927241275,0.01994487371444701,0.017475929820665287,0.269191590641737,0.0,0.007307318841552735,0.00047516851806640595,0.00041766378318695786,0.00047244326782226574
cifar100,gdumb,2929914_2,10,0.46323999762535095,0.7938999533653259,0.8733345866203308,0.008581324843299949,0.00024668910818547,0.0001312892239165806,-0.07177777588367462,0.7893944571279035,0.2896220889414344,0.020321891007944962,0.01880016546150582,0.2684618884604052,0.0,0.007305120726013184,0.0004722234649658206,0.00041830066792094536,0.00047186131286621114
cifar100,gdumb,2917146_4,10,0.45819997787475586,0.7759999632835388,0.8663040995597839,0.008600130518675784,0.00032219977166876124,0.0001550625985686452,-0.07751110941171646,0.7926958370476918,0.31119542823549246,0.016992948937416104,0.01653385929496517,0.2665398571473361,0.0,0.007262936764526368,0.0004363638000488284,0.0004047840387537367,0.0004298851013183594
cifar100,gdumb,2929189_1,10,0.4596099853515625,0.7835999727249146,0.867577850818634,0.008613187018384693,0.0003018678089417522,0.0001295867680011051,-0.08213333785533905,0.7949471672087213,0.30488163684057096,0.020182828974723826,0.019177244245698534,0.26917237205624583,0.0,0.007344414190673827,0.00055207421875,0.00042086106573740653,0.0005505632324218755
cifar100,gdumb,2927240_0,10,0.4590299725532532,0.7775999307632446,0.8665252923965454,0.008685298319033348,0.00025215568576008,0.00013608209798490436,-0.07537776976823807,0.7931661076217318,0.30945016767787276,0.0159082441806793,0.018639805761140483,0.2652318014719337,0.0,0.007305792929077149,0.00045975531005859333,0.0004496548960356484,0.0004576834411621095
cifar100,rwalk,2934940_3,10,0.46724995970726013,0.8097000122070312,0.878622829914093,0.008717033913510546,1.0520502209691953e-05,1.37170625340103e-05,-0.08955556899309158,0.8160649070271176,0.26980246350433185,0.027750457099080042,0.019198897221615274,0.3103215539601445,0.0,0.007996363073730469,0.0005697568206787105,0.00037136768455391843,0.0005704921417236325
cifar100,rwalk,2934930_1,10,0.4679700434207916,0.8135000467300415,0.8799955248832703,0.008664145790037898,3.2659049983283056e-05,1.534022914769403e-05,-0.08455555140972137,0.81169709912271,0.2677275817130417,0.03023834708929063,0.02222972569497746,0.3101178042661398,0.0,0.007963150230407714,0.0005869701690673827,0.00041269678269397647,0.0005825254058837895
cifar100,rwalk,2934925_0,10,0.4667399823665619,0.8032000660896301,0.8769598007202148,0.008720403923785053,3.675352558906882e-05,2.016668143042587e-05,-0.08122222870588303,0.8098629933268822,0.27771232591607214,0.03343436192274092,0.02063307557241075,0.3070169042089582,0.0,0.00795999234313965,0.0006735292663574218,0.00038873208819939986,0.0006740772094726564
cifar100,rwalk,2917149_4,10,0.46386998891830444,0.802299976348877,0.8720186948776245,0.008719047815198184,3.7568526185453326e-05,2.1562562168552108e-05,-0.0872444435954094,0.8150569608259264,0.2832237968797639,0.030737111169099784,0.02459393473390342,0.3097922558170558,0.0,0.008006423796081543,0.000657882125854492,0.00047125906306826884,0.0006610768127441405
cifar100,rwalk,2934939_2,10,0.4679900109767914,0.814799964427948,0.8789340853691101,0.008727437297853852,2.5849549854785783e-05,1.4887269885787189e-05,-0.0830666646361351,0.8177578587631004,0.26407848690174807,0.022912208342552216,0.01978240542051811,0.3146703443856537,0.0,0.00801570357055664,0.00044554562377929714,0.00037988855189728356,0.0004457200164794922
cifar100,lora,2919845_2,10,0.3941499888896942,0.6111000180244446,0.7752363681793213,0.008933804338757314,0.0006183792038089164,0.000207084746109565,-0.2979999780654907,0.9339600887167352,0.5648684606960289,0.17159728051722048,0.08557283687401149,0.36976445536419744,0.0,0.009006862817382812,0.0034462787780761717,0.0017091873466089605,0.003453080352783203
cifar100,lora,2919847_3,10,0.39528998732566833,0.6057000160217285,0.776727020740509,0.008967107929504125,0.0006685834270108906,0.00022895027276187923,-0.2967555522918701,0.9355479137081293,0.5788627970304373,0.17962733805179595,0.08613985145208737,0.37141368515446777,0.0,0.009038805700683595,0.0036087589721679686,0.0017168970099551337,0.003604383270263672
cifar100,lora,2917154_0,10,0.3902599811553955,0.6018999814987183,0.7715329527854919,0.009030826427873666,0.0006894991690666505,0.0002828065706815428,-0.305733323097229,0.9363227824618475,0.5921613707150257,0.1931098776370287,0.09160169717829733,0.36934038296416405,0.0,0.009076927896118164,0.003931468597412109,0.0018240768028401193,0.003930805847167969
cifar100,lora,2919792_1,10,0.39666998386383057,0.617400050163269,0.7770057916641235,0.008918182149501151,0.0006761337306797076,0.00020044158266045367,-0.2987111210823059,0.9258054321407407,0.5584432003655089,0.16269704871475696,0.08123434916016807,0.36248763114217664,0.0,0.008861418350219728,0.0032878544616699217,0.0016108087382575823,0.003287129058837891
cifar100,lora,2917143_4,10,0.3936300277709961,0.5909000635147095,0.7719336748123169,0.008975848118742009,0.0008085410886943271,0.0002434334287671135,-0.30482223629951477,0.9332291764225292,0.6096175424769188,0.19261791591644284,0.08762572269768085,0.3663419658210873,0.0,0.008959776766967773,0.003936557647705078,0.0017501870878092827,0.0039378134460449216
domainnet,rwalk,2988275_0,5,0.44824713468551636,0.7069455981254578,0.772861897945404,0.002256926047470971,3.069185034715877e-05,1.5347172839649623e-05,-0.0734754279255867,0.7550893734894013,0.3962295713407857,0.02122603759599887,0.014067905181053391,0.20936246492530358,0.0,0.0016925107772137907,0.00011610353086050568,6.253201507171535e-05,0.00011629541585628076
domainnet,rwalk,2988370_1,5,0.44727104902267456,0.7041219472885132,0.7715688347816467,0.0022414318819186365,3.597299202303242e-05,1.6752026011280066e-05,-0.07496954500675201,0.7546637898139565,0.39803476105178076,0.024524133778674545,0.014981741206939719,0.20928974802855863,0.0,0.0016877395291191282,0.0001394235251426228,6.950339792442087e-05,0.00013921694435028447
domainnet,rwalk,2964434_4,5,0.4486114978790283,0.70818692445755,0.773712694644928,0.00223920180814474,3.7015694492508204e-05,2.011305883786866e-05,-0.07131855189800262,0.7544298284128207,0.39302585263724743,0.02167884606160546,0.014559699044434545,0.21068162639890775,0.0,0.0016959295734064804,0.00012991740836009372,7.137009172215606e-05,0.0001302605581339685
domainnet,rwalk,2988468_2,5,0.4477633833885193,0.70588219165802,0.7720638513565063,0.0022469133475638723,2.8585596598926584e-05,1.9173192302305e-05,-0.06863108277320862,0.7574023377016349,0.3962850162856922,0.021569875614614563,0.013755850154082117,0.21285960468243056,0.0,0.0017177288334599065,0.00011701292830679361,6.733980840766969e-05,0.00011684875980055741
domainnet,rwalk,2988776_3,5,0.44789379835128784,0.7062159776687622,0.772141695022583,0.002252987894378681,3.3083957419277236e-05,1.708393860057325e-05,-0.06558718532323837,0.7559923327437573,0.3957541170340846,0.02242968690479518,0.014872465400233171,0.21158215852178497,0.0,0.001712229886112713,0.00012578283079650902,7.463121942207599e-05,0.0001258192528119256
domainnet,lora,2967970_3,5,0.42594724893569946,0.6502359509468079,0.7447589635848999,0.00224399560581538,3.7904037580083876e-05,1.9130415985828637e-05,-0.17133933305740356,0.7773954904977148,0.46592782428727114,0.026100933367419393,0.014758871174433013,0.20730691876621576,0.0,0.0016830440165932123,0.00015615910495264895,7.657451951664944e-05,0.00015626040485789653
domainnet,lora,2966699_0,5,0.4235747456550598,0.6473909020423889,0.7416445016860962,0.002250118522840954,6.202261524221129e-05,2.5767464919459873e-05,-0.18316414952278137,0.7786384292204077,0.4664092470847211,0.02911395206493301,0.015982221166401012,0.20782659757655506,0.0,0.0016802310640128056,0.00017437748144582082,8.696400351284437e-05,0.00017415977646182578
domainnet,lora,2964428_4,5,0.425508588552475,0.6515399813652039,0.7441422343254089,0.0022335172540096267,4.580847890637963e-05,2.406031631875987e-05,-0.16983601450920105,0.777798092098785,0.4609920245161137,0.02600520073330272,0.01402064804769548,0.20900586240167915,0.0,0.001686339968792765,0.00016254698089929694,7.97853276304147e-05,0.0001627640927044653
domainnet,lora,2966744_1,5,0.42274266481399536,0.6408503651618958,0.7399488091468811,0.0022373698950001854,6.316524029703906e-05,2.7887986586565054e-05,-0.1815134733915329,0.7812261291015946,0.47409058898730116,0.03264803498084762,0.017958069181716867,0.21094591215533298,0.0,0.0016991350315809874,0.00019801839800507773,0.00010457316127105942,0.00019795678259879312
domainnet,lora,2967968_2,5,0.42461293935775757,0.6520800590515137,0.743003249168396,0.002235113087917837,3.8623321354332074e-05,2.3124946694612457e-05,-0.177250936627388,0.7797974119939444,0.46062566968496066,0.021205351481102527,0.014002946132864236,0.208503504894224,0.0,0.0016910142146045518,0.00013142032299555582,7.666756689907376e-05,0.00013143913762537996
domainnet,linear,2999464_2,5,0.43530207872390747,0.6875391006469727,0.7502104640007019,0.0022503525009111773,3.963860309836642e-05,2.7251031575523765e-05,-0.07058060169219971,0.7621930008688563,0.4169423813611752,0.023160320553193326,0.016900980423913935,0.20077055836705676,0.0,0.0016446889642193249,0.00010977532369103544,6.643427283415762e-05,0.00010975758680865664
domainnet,linear,3003806_3,5,0.43602681159973145,0.6889455914497375,0.7507817149162292,0.0022558142145764726,3.59301154904732e-05,2.4156466210011247e-05,-0.06947982311248779,0.7626785835390496,0.41565774716039766,0.024288750356863488,0.01828261193333199,0.20068979911580595,0.0,0.0016418535410224113,0.00010583570562756643,6.988079285943533e-05,0.00010556171966941044
domainnet,linear,2990698_0,5,0.4349701404571533,0.6872888207435608,0.7491986155509949,0.0022602867343861507,3.8496511808246905e-05,2.6041368031620157e-05,-0.07177958637475967,0.7619037300034995,0.417024053619701,0.023917003104752685,0.017181020231318823,0.20065450336062746,0.0,0.0016449409992190436,0.00011315515638944891,6.911325591834573e-05,0.00011347681805146401
domainnet,linear,2970739_4,5,0.43414878845214844,0.6845826506614685,0.7484642267227173,0.0022506912550122964,3.4485017174935505e-05,2.5493534454090218e-05,-0.07029333710670471,0.764024854581357,0.4192506493923221,0.023598340142505364,0.017537913709309082,0.20113865120549237,0.0,0.0016411589302873838,0.00011335806949861997,7.339982100734114e-05,0.00011362536757437167
domainnet,linear,2999463_1,5,0.4344080090522766,0.6859610080718994,0.7485142946243286,0.002247851532361808,3.730071658741496e-05,2.5142912417964144e-05,-0.07392872869968414,0.7623996140662995,0.41861779687277834,0.024521468913005412,0.01651622125636403,0.20113348486105367,0.0,0.0016452665215562108,0.00011693584012322909,7.034929003078267e-05,0.00011700992481681948
domainnet,ball,2964429_4,5,0.44555559754371643,0.7034553289413452,0.7677447199821472,0.0022793251274064014,6.83193022155857e-05,3.81752999648493e-05,-0.07568249106407166,0.7676262164953952,0.39919118278207144,0.032442054546770814,0.021295203319236004,0.22737052365600935,0.0,0.0018093920874935922,0.00019525794843453087,0.0001241877922131299,0.00019529469628057044
domainnet,ball,2967971_0,5,0.4463082253932953,0.704667866230011,0.7688297033309937,0.002276448849384184,6.547583252302939e-05,3.654098166389277e-05,-0.06943614780902863,0.7664021991976735,0.3971466356868167,0.027272552270815646,0.019068073079109814,0.22560981526822732,0.0,0.001801983973206395,0.00016871211819655504,0.0001150817956641939,0.00016869110212136735
domainnet,ball,2968412_1,5,0.4449012875556946,0.7022008895874023,0.7667340040206909,0.0022713076016232995,6.609231349909154e-05,3.586896001705582e-05,-0.07643432915210724,0.7655576834849673,0.40121092698263366,0.03172958734587139,0.019529268067028347,0.22450785869994844,0.0,0.0017933779986095328,0.00019098227785652804,0.00011564897015744312,0.0001909874410187087
domainnet,ball,2968413_2,5,0.4451058506965637,0.7025062441825867,0.7669137716293335,0.0022684166947068685,6.331775007716118e-05,3.50818199713552e-05,-0.07593992352485657,0.7647690625397129,0.4005151555960197,0.029695125170090226,0.019008465154127237,0.22222989440380886,0.0,0.0017831749685555739,0.00017827184247120941,0.00011349869098155702,0.0001783082853732044
